destination,Western Europe,Eastern Europe,Southern Europe,Northern Europe,Scandinavia,Nordic countries,Mediterranean coast,The Balkans,Central Europe,Baltic States,French Riviera,Amalfi Coast,Alpine,Iberian Peninsula,Benelux,British Isles,Romantic,Historical,Luxury,Budget,Children,Scenic,Coastal,Mountainous,Urban,Countryside,Adventure,Cultural,Popular,Remote,Sunny,Snow,Chill,Comfort,Peaceful,Relax,Traditional,Modern,Green,Ski,Hiking,Wine,Cycling,Museum,Food,Beach,Photography,Shopping,Sailing,Spa,History,Club,Festival,Castle,Cruise,Camp,Art,Church,Market,Palace,Botanical Garden,Lake,Cathedral,Opera House,Ancient,Bridge,Old Town,Harbor,Monastery,Island,Waterfall,Canyon,Fjord
Rome,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,5,0,0,0,7,0,0,10,10,0,0,1,0,0,0,0,2,19,6,0,0,2,1,2,7,0,0,0,0,0,9,1,1,0,0,0,15,17,2,1,1,0,2,1,34,5,0,0,0,1,0,0,0
Florence(Italy),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4,0,0,8,2,0,0,1,0,0,0,0,4,9,1,0,0,4,1,10,7,0,0,1,0,0,8,2,0,0,0,1,35,10,3,8,0,0,11,1,1,7,0,0,2,0,0,0,0
Venice,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,7,3,1,2,0,1,0,3,1,1,8,9,0,0,1,0,0,0,0,2,6,0,0,0,1,0,1,1,1,2,2,2,0,7,11,4,0,32,0,7,4,1,3,0,1,1,0,5,5,0,0,1,11,0,0,0
Milan,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,21,0,0,6,3,0,0,2,0,0,0,0,5,17,2,0,0,4,3,9,1,0,1,2,0,0,11,4,1,2,0,0,32,10,1,2,1,3,7,0,11,0,0,0,1,1,0,0,0
Naples,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,0,2,0,2,0,10,0,1,6,13,0,0,1,0,0,0,0,4,7,1,0,0,1,0,6,2,1,0,0,2,0,11,3,5,6,1,0,13,3,1,8,1,0,2,2,7,2,0,1,1,3,0,0,0
Cinque Terre(Italy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amalfi Coast(Italy),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,4,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,1,0,7,1,9,1,0,1,1,11,0,8,3,0,7,0,5,7,2,0,0,1,0,0,0
Lake Como(Italy),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,2,0,0,4,0,3,0,0,0,8,6,0,0,0,0,0,0,0,8,2,1,0,2,0,1,1,1,0,0,0,1,0,5,0,1,0,0,0,0,0,1,0,1,81,0,0,4,0,0,0,2,0,0,0,0
Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,1,1,1,0,0,3,16,0,1,0,1,1,0,3,4,0,0,0,0,0,0,0
Barcelona,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,6,1,0,1,0,0,0,18,0,0,5,5,0,0,1,0,0,1,0,1,8,1,0,0,0,1,25,0,4,0,0,0,0,9,6,2,4,1,4,7,4,0,0,3,0,4,1,6,0,0,0,1,2,0,0,0
